name, slug, country, ambiguous, website_url, myspace_url, twitter_url, facebook_url, youtube_url
3 Inches of Blood,3-inches-of-blood,ca,0,None,http://www.myspace.com/3iob,http://twitter.com/3ioB,http://www.facebook.com/threeinchesofblood,http://www.youtube.com/3inchesofbloodtv
A Life Once Lost,a-life-once-lost,us,0,None,http://www.myspace.com/alifeoncelost,None,None,http://www.youtube.com/user/ALOLOfficial
Aborted,aborted,be,1,None,http://www.myspace.com/abortedmetal,http://twitter.com/abortedmetal,http://www.facebook.com/pages/Aborted/10715433705,http://www.youtube.com/abortedbelgium
After the Burial,after-the-burial,us,0,None,http://www.myspace.com/aftertheburial,http://twitter.com/AFTERTHEBURIAL1,None,None
Agalloch,agalloch,us,0,None,http://www.myspace.com/agalloch,None,http://www.facebook.com/AgallochOfficial,None
Amogh Symphony,amogh-symphony,in,0,None,http://www.myspace.com/mohenjadaro,None,None,None
Amon Amarth,amon-amarth,se,0,None,http://www.myspace.com/amonamarth,http://twitter.com/amonamarthband,http://www.facebook.com/AmonAmarthBand,http://www.youtube.com/amonamarthofficial
Anaal Nathrakh,anaal-nathrakh,gb,0,None,http://www.myspace.com/anaalnathrakh,None,http://www.facebook.com/pages/Anaal-Nathrakh/16155764949,None
Anata,anata,se,1,None,http://www.myspace.com/anata,None,None,None
Animals as Leaders,animals-as-leaders,us,0,None,http://www.myspace.com/animalsasleaders,http://twitter.com/AALEADERS,None,http://www.youtube.com/user/xnextgtrgodx
Aphex Twin,aphex-twin,uk,0,None,None,None,http://www.facebook.com/aphextwinafx,None
Arsis,arsis,us,0,None,http://www.myspace.com/arsis,http://twitter.com/_arsis,http://www.facebook.com/arsis,http://www.youtube.com/user/ArsisOfficial
At the Gates,at-the-gates,se,1,None,http://www.myspace.com/atthegatesband,None,None,http://www.youtube.com/user/atthegatesofficial
Atheist,atheist,us,1,None,http://www.myspace.com/kellysatheistwebsite,None,None,None
Augury,augury,ca,1,None,http://www.myspace.com/augury,http://twitter.com/AuguryMetal,http://www.facebook.com/augury,http://www.youtube.com/user/AuguryMetal
